track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,popular,loudness,playlist_genre,track_id,duration_ms,released_date
Circo Loco,"Drake, 21 Savage",2,2022,11,4,141720999,104,C♯/D♭,1,0.73,0.25,0.61,0.01,0,0.32,0.07,1,,,,,11/4/22
Labyrinth,Taylor Swift,1,2022,10,21,187339835,110,,1,0.48,0.15,0.31,0.8,0.22,0.12,0.04,1,,,,,10/21/22
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,198365537,130,G,1,0.77,0.2,0.7,0.01,0,0.16,0.05,1,,,,,11/4/22
Sweet Nothing,Taylor Swift,1,2022,10,21,186104310,177,,1,0.34,0.39,0.16,0.97,0,0.12,0.05,1,,,,,10/21/22
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,177503916,158,G,1,0.48,0.55,0.84,0.43,0,0.15,0.12,1,,,,,10/21/22
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,71095708,114,D,0,0.62,0.25,0.44,0.51,0.33,0.14,0.03,1,,,,,11/4/22
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,112436403,144,F,1,0.93,0.62,0.61,0,0,0.12,0.2,1,,,,,11/4/22
The Astronaut,Jin,1,2022,10,28,203436468,125,F,1,0.54,0.22,0.76,0,0,0.14,0.03,1,,,,,10/28/22
BackOutsideBoyz,Drake,1,2022,11,4,93367537,142,F,0,0.85,0.4,0.43,0.04,0,0.39,0.32,1,,,,,11/4/22
Broke Boys,"Drake, 21 Savage",2,2022,11,4,106249219,120,D,1,0.64,0.11,0.53,0.01,0,0.25,0.27,1,,,,,11/4/22
The Great War,Taylor Swift,1,2022,10,21,181382590,96,F,1,0.57,0.55,0.74,0.22,0,0.08,0.04,1,,,,,10/21/22
My Mind & Me,Selena Gomez,1,2022,11,3,91473363,144,A,1,0.6,0.24,0.39,0.57,0,0.08,0.03,1,,,,,11/3/22
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,121871870,166,F♯/G♭,1,0.42,0.07,0.24,0.83,0.01,0.12,0.06,1,,,,,10/21/22
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,73513683,92,C♯/D♭,1,0.8,0.81,0.67,0.04,0,0.08,0.06,1,,,,,11/3/22
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,133895612,97,C♯/D♭,1,0.82,0.67,0.77,0.08,0,0.12,0.05,1,,,,,10/20/22
Alone,Burna Boy,1,2022,11,4,96007391,90,E,0,0.61,0.32,0.67,0.15,0,0.11,0.05,1,,,,,11/4/22
